                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   0.84,                 3.8818,                 1.2201,                0.54121,                0.12125,                0.12297,                0.11155,                0.55868,                 4.2132,                0.99545,              7.228e-05,              7.228e-05,              7.228e-05
                      2,                  0.629,                 2.4116,                 1.0339,                0.45945,                0.42196,                0.19386,                0.16684,                0.58667,                 5.1371,                0.93955,             0.00014517,             0.00014517,             0.00014517
                      3,                0.53852,                 1.7631,                0.97863,                0.57798,                0.32497,                0.30218,                0.27546,                0.57182,                 5.2996,                0.94084,             0.00021293,             0.00021293,             0.00021293
                      4,                0.56806,                 1.6321,                0.97834,                0.58839,                 0.3913,                0.30422,                0.25536,                0.69518,                 3.9172,                 1.0389,             0.00027556,             0.00027556,             0.00027556
                      5,                 0.5281,                 1.5435,                0.95378,                0.50297,                0.29836,                0.36723,                0.30291,                0.68576,                 3.8432,                 1.0335,             0.00033305,             0.00033305,             0.00033305
                      6,                0.58722,                 1.4678,                0.96918,                0.48551,                0.26115,                0.21762,                0.15505,                0.86613,                 3.4897,                 1.1795,             0.00038541,             0.00038541,             0.00038541
                      7,                0.55122,                 1.2227,                0.95434,                0.38997,                0.37437,                0.28478,                0.21902,                 0.7864,                  2.886,                 1.0768,             0.00043264,             0.00043264,             0.00043264
                      8,                0.54003,                 1.3451,                0.92402,                 0.6672,                0.37976,                 0.4073,                 0.3359,                0.76246,                 2.5399,                 1.0709,             0.00042769,             0.00042769,             0.00042769
                      9,                0.59562,                 1.3294,                0.98137,                0.47674,                0.31629,                0.30185,                0.24965,                0.81331,                 2.8028,                 1.0988,             0.00042769,             0.00042769,             0.00042769
                     10,                0.51374,                 1.1504,                0.91992,                0.71664,                0.29179,                 0.3427,                0.27282,                0.76293,                 2.2898,                 1.0357,             0.00040936,             0.00040936,             0.00040936
                     11,                0.56933,                 1.0628,                0.96745,                0.58194,                0.36558,                0.37727,                0.31252,                0.72345,                 2.0395,                 1.0335,             0.00039103,             0.00039103,             0.00039103
                     12,                0.52147,                 1.0146,                0.92735,                0.58731,                0.33756,                0.39898,                0.33889,                0.71165,                 2.1064,                 1.0273,              0.0003727,              0.0003727,              0.0003727
                     13,                0.47342,                0.87402,                0.88075,                0.39874,                 0.5146,                0.37868,                0.31533,                0.74695,                 2.2653,                 1.0636,             0.00035437,             0.00035437,             0.00035437
                     14,                0.48843,                0.82628,                 0.9229,                0.59277,                0.42024,                0.38355,                0.31293,                0.75193,                 2.0899,                 1.0514,             0.00033604,             0.00033604,             0.00033604
                     15,                0.43906,                0.81729,                0.89027,                 0.5352,                0.43457,                0.46006,                0.38814,                0.65783,                 1.9855,                0.98217,             0.00031771,             0.00031771,             0.00031771
                     16,                 0.4473,                0.73017,                 0.8775,                0.42761,                 0.4819,                 0.4491,                0.38308,                0.67768,                 1.9263,                 1.0047,             0.00029938,             0.00029938,             0.00029938
                     17,                0.46921,                0.75532,                0.89439,                 0.5558,                0.43316,                0.43666,                0.37505,                0.69738,                 1.8243,                  1.024,             0.00028105,             0.00028105,             0.00028105
                     18,                0.41905,                0.68779,                   0.87,                0.41286,                0.46494,                0.45511,                0.37129,                0.70183,                 1.9435,                 1.0255,             0.00026272,             0.00026272,             0.00026272
                     19,                0.41161,                0.59499,                0.85155,                0.53797,                0.39689,                0.48972,                0.40806,                0.69433,                 1.8167,                 1.0177,             0.00024439,             0.00024439,             0.00024439
                     20,                0.38444,                0.54674,                0.85306,                 0.4899,                0.47168,                0.47498,                0.40655,                0.71664,                  1.934,                 1.0352,             0.00022606,             0.00022606,             0.00022606
                     21,                0.38264,                0.60331,                0.85224,                0.53311,                0.51164,                0.49682,                0.42595,                0.69049,                  1.687,                  1.049,             0.00020773,             0.00020773,             0.00020773
                     22,                0.36786,                0.48427,                0.83237,                0.64069,                0.42358,                0.46464,                0.39694,                0.67759,                 1.6701,                 1.0487,              0.0001894,              0.0001894,              0.0001894
                     23,                0.36215,                 0.4958,                0.84112,                0.64253,                0.40794,                0.42588,                 0.3663,                0.67695,                 1.7111,                 1.0634,             0.00017107,             0.00017107,             0.00017107
                     24,                 0.3267,                0.39771,                0.82465,                0.42668,                0.46096,                0.42512,                0.36733,                0.68929,                  1.858,                 1.0624,             0.00015274,             0.00015274,             0.00015274
                     25,                0.32172,                 0.3849,                 0.8132,                0.41479,                0.45998,                0.43385,                0.37901,                 0.6765,                 1.9701,                 1.0465,             0.00013441,             0.00013441,             0.00013441
                     26,                0.38267,                0.47017,                0.87239,                0.44576,                0.45687,                0.43618,                0.37843,                0.69781,                  1.981,                 1.0746,             0.00011608,             0.00011608,             0.00011608
                     27,                0.31559,                 0.3531,                 0.8156,                 0.4508,                0.43271,                0.46502,                0.40057,                0.69058,                  1.938,                 1.0634,             9.7745e-05,             9.7745e-05,             9.7745e-05
                     28,                0.29268,                 0.3436,                0.81465,                0.32185,                0.46847,                0.45546,                0.39551,                 0.6568,                 1.8841,                 1.0331,             7.9415e-05,             7.9415e-05,             7.9415e-05
                     29,                0.28741,                0.35291,                0.81164,                0.33168,                0.48691,                0.45561,                0.39524,                 0.6556,                 1.8678,                 1.0317,             6.1084e-05,             6.1084e-05,             6.1084e-05
                     30,                0.33279,                 0.4025,                0.85191,                0.39163,                0.46767,                0.46303,                0.40458,                0.66734,                  1.846,                 1.0393,             4.2754e-05,             4.2754e-05,             4.2754e-05
